GPSDate&Time,#ofSats,HDOP,Latitude,Longitude,Altitude(m),Speed(m/s),Heading(Deg),Marker,Value
2020/09/29-16:26:00:00,0,3.9,40.0681289,-105.2021415,1552.859131,12.57318,16.100313,,
2020/09/29-16:26:01:00,0,3.9,40.0682428,-105.2021186,1553.112793,12.723773,10.090415,,
2020/09/29-16:26:02:00,0,3.9,40.0683602,-105.2021123,1552.869629,12.772584,5.0645995,,
2020/09/29-16:26:03:00,0,3.9,40.0684777,-105.2021161,1552.699219,12.826943,3.0241208,,
2020/09/29-16:26:04:00,0,3.9,40.0685944,-105.2021196,1552.63208,12.992244,2.012688,,
2020/09/29-16:26:05:00,0,3.9,40.068715,-105.2021228,1552.571533,13.521585,1.0132837,,
2020/09/29-16:26:06:00,0,3.9,40.068839,-105.2021246,1552.793457,13.84387,3.9646413,,
2020/09/29-16:26:07:00,0,3.9,40.0689674,-105.2021213,1552.646484,14.223304,4.002265,,
2020/09/29-16:26:08:00,0,3.9,40.0690966,-105.2021195,1552.224854,14.287475,3.9998424,,
2020/09/29-16:26:09:00,0,3.9,40.069226,-105.2021182,1551.660645,14.175236,3.998262,,
2020/09/29-16:26:10:00,0,3.9,40.0693544,-105.2021165,1551.288818,14.256355,4.000129,,
2020/09/29-16:26:11:00,0,3.9,40.0694844,-105.2021157,1551.778809,14.260492,3.0115445,,
2020/09/29-16:26:12:00,0,3.9,40.0696157,-105.2021189,1551.991211,14.375298,3.0001693,,
2020/09/29-16:26:13:00,0,3.9,40.0697477,-105.2021223,1552.152344,14.208673,2.9979398,Data Log,FALSE
